"year","state","party","candidatevotes","totalvotes","percentage"
2000,"OHIO","REPUBLICAN",2351209,4705457,49.9677077061803
2000,"OKLAHOMA","REPUBLICAN",744337,1234229,60.3078521084823
2000,"OREGON","DEMOCRAT",720342,1533968,46.9593889833425
2000,"PENNSYLVANIA","DEMOCRAT",2485967,4912185,50.6081713127661
2000,"RHODE ISLAND","DEMOCRAT",249508,409112,60.9877001896791
2000,"SOUTH CAROLINA","REPUBLICAN",786426,1383777,56.8318450154902
2000,"SOUTH DAKOTA","REPUBLICAN",190700,316269,60.2967726840127
2000,"TENNESSEE","REPUBLICAN",1061949,2076181,51.149153180768
2000,"TEXAS","REPUBLICAN",3799639,6407637,59.2985994681035
2000,"UTAH","REPUBLICAN",515096,770754,66.8301429509286
2000,"VERMONT","DEMOCRAT",149022,294308,50.6347092161953
2000,"VIRGINIA","REPUBLICAN",1436877,2737915,52.4807015557459
2000,"WASHINGTON","DEMOCRAT",1247652,2488441,50.137897583266
2000,"WEST VIRGINIA","REPUBLICAN",336475,648124,51.915219927051
2000,"WISCONSIN","DEMOCRAT",1242987,2598607,47.8328196606874
2000,"WYOMING","REPUBLICAN",147947,218351,67.7565021456279
2004,"ALABAMA","REPUBLICAN",1176394,1883415,62.4606897577008
2004,"ALASKA","REPUBLICAN",292267,488693,59.805849480144
2004,"ARIZONA","REPUBLICAN",1104294,2012585,54.8694340860138
2004,"ARKANSAS","REPUBLICAN",572770,1053694,54.3582861817568
2004,"CALIFORNIA","DEMOCRAT",6737355,12383678,54.4051209987857
2004,"COLORADO","REPUBLICAN",1101255,2129630,51.7110953545921
2004,"CONNECTICUT","DEMOCRAT",857488,1578769,54.3137089719902
2004,"DELAWARE","DEMOCRAT",200141,375170,53.346749473572
2004,"DISTRICT OF COLUMBIA","DEMOCRAT",202970,227586,89.1838689550324
2004,"FLORIDA","REPUBLICAN",3964522,7609810,52.097516232337
2004,"GEORGIA","REPUBLICAN",1914254,3298790,58.0289742602591
2004,"HAWAII","DEMOCRAT",231335,428555,53.9802359090432
2004,"IDAHO","REPUBLICAN",409235,598376,68.3909448239903
2004,"ILLINOIS","DEMOCRAT",2891989,5275415,54.8201231561877
2004,"INDIANA","REPUBLICAN",1479438,2468002,59.9447650366572
2004,"IOWA","REPUBLICAN",751957,1506908,49.9006575053022
2004,"KANSAS","REPUBLICAN",736456,1187756,62.0039806155473
2004,"KENTUCKY","REPUBLICAN",1069439,1795860,59.5502433374539
2004,"LOUISIANA","REPUBLICAN",1102169,1943106,56.72202134109
2004,"MAINE","DEMOCRAT",364153,686510,53.0440925842304
2004,"MARYLAND","DEMOCRAT",1334493,2386678,55.91424565861
2004,"MASSACHUSETTS","DEMOCRAT",1803800,2912388,61.9354289332328
2004,"MICHIGAN","DEMOCRAT",2479183,4839252,51.2307067290565
2004,"MINNESOTA","DEMOCRAT",1444751,2827850,51.0900861078204
2004,"MISSISSIPPI","REPUBLICAN",666295,1114859,59.7649568241365
2004,"MISSOURI","REPUBLICAN",1455713,2731364,53.2961919392655
2004,"MONTANA","REPUBLICAN",266063,450434,59.0681431685885
2004,"NEBRASKA","REPUBLICAN",512814,778186,65.8986411988907
2004,"NEVADA","REPUBLICAN",418690,829587,50.4696915453111
2004,"NEW HAMPSHIRE","DEMOCRAT",340511,677662,50.247911200569
2004,"NEW JERSEY","DEMOCRAT",1911430,3609691,52.9527319651461
2004,"NEW MEXICO","REPUBLICAN",376930,756304,49.8384247604138
2004,"NEW YORK","DEMOCRAT",4180755,7391036,56.5652095321955
2004,"NORTH CAROLINA","REPUBLICAN",1961166,3501007,56.0171973377945
2004,"NORTH DAKOTA","REPUBLICAN",196651,312833,62.8613349614651
2004,"OHIO","REPUBLICAN",2858727,5625631,50.8161128947135
2004,"OKLAHOMA","REPUBLICAN",959792,1463758,65.5704016647561
2004,"OREGON","DEMOCRAT",943163,1836782,51.3486630422119
2004,"PENNSYLVANIA","DEMOCRAT",2938095,5765764,50.9576007620152
2004,"RHODE ISLAND","DEMOCRAT",259760,436289,59.5385169004949
2004,"SOUTH CAROLINA","REPUBLICAN",937974,1617730,57.9808744351653
2004,"SOUTH DAKOTA","REPUBLICAN",232584,388215,59.9111317182489
2004,"TENNESSEE","REPUBLICAN",1381225,2430494,56.8289820917065
2004,"TEXAS","REPUBLICAN",4526917,7410749,61.0858227690615
2004,"UTAH","REPUBLICAN",663742,927844,71.5359478533029
2004,"VERMONT","DEMOCRAT",184067,312309,58.9374625771271
2004,"VIRGINIA","REPUBLICAN",1716959,3198367,53.6823635311395
2004,"WASHINGTON","DEMOCRAT",1510201,2859084,52.8211483118369
2004,"WEST VIRGINIA","REPUBLICAN",423550,755659,56.0504142741634
2004,"WISCONSIN","DEMOCRAT",1489504,2997007,49.6997170844112
2004,"WYOMING","REPUBLICAN",167629,243428,68.8618400512677
2008,"ALABAMA","REPUBLICAN",1266546,2099819,60.3169130291706
2008,"ALASKA","REPUBLICAN",193841,326197,59.4245195388063
2008,"ARIZONA","REPUBLICAN",1230111,2293475,53.6352478226272
2008,"ARKANSAS","REPUBLICAN",638017,1086617,58.7159044999296
2008,"CALIFORNIA","DEMOCRAT",8274473,13561900,61.0126383471342
2008,"COLORADO","DEMOCRAT",1288576,2401361,53.6602368406916
2008,"CONNECTICUT","DEMOCRAT",1000291,1647085,60.7309883825061
2008,"DELAWARE","DEMOCRAT",255459,412412,61.9426689815039
2008,"DISTRICT OF COLUMBIA","DEMOCRAT",245800,265853,92.4571097561434
2008,"FLORIDA","DEMOCRAT",4282366,8391639,51.0313420298466
2008,"GEORGIA","REPUBLICAN",2048744,3925278,52.1936025932431
2008,"HAWAII","DEMOCRAT",325201,452742,71.8292095718975
2008,"IDAHO","REPUBLICAN",403012,655032,61.525543790227
2008,"ILLINOIS","DEMOCRAT",3419673,5523051,61.9163755685037
2008,"INDIANA","DEMOCRAT",1374039,2751054,49.9459116396843
2008,"IOWA","DEMOCRAT",828940,1536820,53.9386525422626
2008,"KANSAS","REPUBLICAN",699655,1235872,56.6122543434919
2008,"KENTUCKY","REPUBLICAN",1048462,1826508,57.4025408046392
2008,"LOUISIANA","REPUBLICAN",1148015,1959085,58.5995503002677
2008,"MAINE","DEMOCRAT",421923,731163,57.705737297976
2008,"MARYLAND","DEMOCRAT",1629467,2631596,61.9193447626459
